course_name,course_url,lesson_count,price,description,instructor,rating,difficulty_level,text
improving real world rag systems: key challenges & practical solutions,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,12 Lessons,Free,"this course explores the key challenges in building real-world retrieval-augmented generation (rag) systems and provides practical solutions. topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. through hands-on demos, you will gain insights into better chunking, embedding models, and agentic rag systems for more robust, real-world applications.",Dipanjan Sarkar,4.8/5,Beginner,"improving real world rag systems: key challenges & practical solutions this course explores the key challenges in building real-world retrieval-augmented generation (rag) systems and provides practical solutions. topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. through hands-on demos, you will gain insights into better chunking, embedding models, and agentic rag systems for more robust, real-world applications."
framework to choose the right llm for your business,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,6 Lessons,Free,"this course will guide you through the process of selecting the most suitable large language model (llm) for various business needs. by examining factors such as accuracy, cost, scalability, and integration, you will understand how different llms perform in specific scenarios, from customer support to healthcare and strategy development. the course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving llm landscape effectively.",Rohan Rao,4.7/5,Beginner,"framework to choose the right llm for your business this course will guide you through the process of selecting the most suitable large language model (llm) for various business needs. by examining factors such as accuracy, cost, scalability, and integration, you will understand how different llms perform in specific scenarios, from customer support to healthcare and strategy development. the course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving llm landscape effectively."
building smarter llms with mamba and state space model,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,14 Lessons,Free,"unlock the power of state space models (ssm) like mamba with our comprehensive course designed for ai professionals, data scientists, and nlp enthusiasts. master the art of integrating ssm with deep learning, unravel the complexities of models like mamba, and elevate your understanding of generative ai's newest and most innovative models. this course is designed to equip you with the skills needed to understand these cutting-edge ai models and how they work, making you proficient in the latest ai techniques and architectures.",Maarten Grootendorst,0/5,Unknown,"building smarter llms with mamba and state space model unlock the power of state space models (ssm) like mamba with our comprehensive course designed for ai professionals, data scientists, and nlp enthusiasts. master the art of integrating ssm with deep learning, unravel the complexities of models like mamba, and elevate your understanding of generative ai's newest and most innovative models. this course is designed to equip you with the skills needed to understand these cutting-edge ai models and how they work, making you proficient in the latest ai techniques and architectures."
generative ai - a way of life - free course,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,31 Lessons,Free,"this course is a transformative journey tailored for beginners and delves into ai-powered text and image generation using leading tools like chatgpt, microsoft copilot, and dall·e3. learn practical applications across industries, ethical considerations, and best practices. whether you're a content creator, business innovator, or ai enthusiast, gain the expertise to harness generative ai's full potential and drive innovation in your field.","Apoorv Vishnoi, Head",4.7/5,Beginner,"generative ai - a way of life - free course this course is a transformative journey tailored for beginners and delves into ai-powered text and image generation using leading tools like chatgpt, microsoft copilot, and dall·e3. learn practical applications across industries, ethical considerations, and best practices. whether you're a content creator, business innovator, or ai enthusiast, gain the expertise to harness generative ai's full potential and drive innovation in your field."
building llm applications using prompt engineering - free course,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,18 Lessons,Free,"this course will provide you with a hands-on understanding of building llm applications and mastering prompt engineering techniques. by the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative ai model performance. you'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational ai systems in real-world projects.who should enroll:professionals:individuals looking to deepen their knowledge and apply advanced llm and prompt engineering techniques to solve complex problems across various domains.aspiring students:individuals looking to deepen their knowledge and apply advanced llm and prompt engineering techniques to solve complex problems across various domains.","Kunal Jain, Founder & CEO, Analytics Vidhya",4.6/5,Beginner,"building llm applications using prompt engineering - free course this course will provide you with a hands-on understanding of building llm applications and mastering prompt engineering techniques. by the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative ai model performance. you'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational ai systems in real-world projects.who should enroll:professionals:individuals looking to deepen their knowledge and apply advanced llm and prompt engineering techniques to solve complex problems across various domains.aspiring students:individuals looking to deepen their knowledge and apply advanced llm and prompt engineering techniques to solve complex problems across various domains."
building your first computer vision model - free course,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,7 Lessons,Free,"this course will help you gain a deep understanding of computer vision and build advanced cv models using the pytorch framework. with a carefully curated list of resources and exercises, this course is your guide to becoming a computer vision expert. master the techniques to build convolutional neural networks, and classify images.who should enroll:professionals: individuals looking to expand their skill set and leverage cv across different industries.aspiring students: for those setting out on their journey to master image data analysis and leave a mark in the tech world.","Apoorv Vishnoi, Head",4.6/5,Beginner,"building your first computer vision model - free course this course will help you gain a deep understanding of computer vision and build advanced cv models using the pytorch framework. with a carefully curated list of resources and exercises, this course is your guide to becoming a computer vision expert. master the techniques to build convolutional neural networks, and classify images.who should enroll:professionals: individuals looking to expand their skill set and leverage cv across different industries.aspiring students: for those setting out on their journey to master image data analysis and leave a mark in the tech world."
bagging and boosting ml algorithms - free course,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,16 Lessons,Free,"this course will provide you with a hands-on understanding of bagging and boosting techniques in machine learning. by the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. you'll learn to apply algorithms like random forest, adaboost, and gradient boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.who should enroll:professionals:individuals looking to deepen their knowledge and apply advanced machine learning techniques like bagging and boosting to solve complex problems across various domainsaspiring students:individuals looking to deepen their knowledge and apply advanced ml techniques to bring value to businesses",Unknown,0/5,Unknown,"bagging and boosting ml algorithms - free course this course will provide you with a hands-on understanding of bagging and boosting techniques in machine learning. by the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. you'll learn to apply algorithms like random forest, adaboost, and gradient boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.who should enroll:professionals:individuals looking to deepen their knowledge and apply advanced machine learning techniques like bagging and boosting to solve complex problems across various domainsaspiring students:individuals looking to deepen their knowledge and apply advanced ml techniques to bring value to businesses"
midjourney: from inspiration to implementation - free course,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5 Lessons,Free,"this course will provide you with a practical understanding of midjourney tools. by the end of the course, you will be able to utilize midjourney effectively and explore alternative tools for your creative projects. you'll learn how to draw inspiration, use midjourney's features, and understand its applications through engaging lessons.who should enroll:creative professionals:individuals looking to enhance their creativity and apply midjourney tools to various artistic and visual projects.aspiring creatives:those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of midjourney and its alternatives.","Sandeep Singh, Expert Senior Director, Bain & Company",4.6/5,Intermediate,"midjourney: from inspiration to implementation - free course this course will provide you with a practical understanding of midjourney tools. by the end of the course, you will be able to utilize midjourney effectively and explore alternative tools for your creative projects. you'll learn how to draw inspiration, use midjourney's features, and understand its applications through engaging lessons.who should enroll:creative professionals:individuals looking to enhance their creativity and apply midjourney tools to various artistic and visual projects.aspiring creatives:those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of midjourney and its alternatives."
understanding linear regression - free course,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,10 Lessons,Free,"this free course will help you understand the fundamentals of linear regression in a straightforward manner. by the end of this course, you will be able to build predictive models using linear regression techniques. with a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression.",Unknown,0/5,Unknown,"understanding linear regression - free course this free course will help you understand the fundamentals of linear regression in a straightforward manner. by the end of this course, you will be able to build predictive models using linear regression techniques. with a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression."
the working of neural networks - free course,https://courses.analyticsvidhya.com/courses/the-working-of-neural-networks,11 Lessons,Free,"this free course will help you understand the end-to-end working of neural networks in a simple manner. by the end of this course, you will be able to build advanced deep learning models using the pytorch framework. with a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. it is recommended that you complete the advanced machine learning course before taking up this course.",Unknown,0/5,Unknown,"the working of neural networks - free course this free course will help you understand the end-to-end working of neural networks in a simple manner. by the end of this course, you will be able to build advanced deep learning models using the pytorch framework. with a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. it is recommended that you complete the advanced machine learning course before taking up this course."
the a to z of unsupervised ml - free course,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,13 Lessons,Free,"unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. it is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.",Unknown,4.6/5,Intermediate,"the a to z of unsupervised ml - free course unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. it is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable."
building your first rag system using llamaindex - free course,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,12 Lessons,Free,"this course will guide youthrough building your first retrieval-augmented generation (rag) systemusing llamaindex.you will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. finally, you will employ a query engine to generate responses. by the end of this course, you will have a solid understanding of these processes and be able to build an rag system using llamaindex code effectively.","Prashant Sahu, Ph.D IIT Bombay; Data Science Manager, Analytics Vidhya",4.8/5,Intermediate,"building your first rag system using llamaindex - free course this course will guide youthrough building your first retrieval-augmented generation (rag) systemusing llamaindex.you will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. finally, you will employ a query engine to generate responses. by the end of this course, you will have a solid understanding of these processes and be able to build an rag system using llamaindex code effectively."
data preprocessing on a real-world problem statement - free course,https://courses.analyticsvidhya.com/courses/data-preprocessing,13 Lessons,Free,"this course will help you get a practical understanding of data preprocessing. after this course, you can work on any data and prepare it for modelling. with a carefully curated list of resources, this course is your first step to becoming a data scientist. by the end of the course, you will have mastered techniques like eda and missing value treatment.who should enroll:professionals: individuals looking to expand their skill set on data cleaning and preparation.aspiring students: for those setting out on their journey to become a data scientist and making a mark in the tech world.",Unknown,0/5,Unknown,"data preprocessing on a real-world problem statement - free course this course will help you get a practical understanding of data preprocessing. after this course, you can work on any data and prepare it for modelling. with a carefully curated list of resources, this course is your first step to becoming a data scientist. by the end of the course, you will have mastered techniques like eda and missing value treatment.who should enroll:professionals: individuals looking to expand their skill set on data cleaning and preparation.aspiring students: for those setting out on their journey to become a data scientist and making a mark in the tech world."
exploring stability.ai - free course,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,7 Lessons,Free,"this course will give you a practical understanding of stability.ai tools. by the end of the course, you will be able to deploy and customize sd webui, and use the automatic1111 webui on runpod gpu environments. you'll learn to install, set up, generate, and fine-tune sd webui settings, equipping you with the skills to harness stability.ai's full potential for your projects.who should enroll:professionals:individuals aiming to enhance their skill set and apply stability.ai tools/stable diffusion in various fields.aspiring students:those beginning their journey to mastering generative ai tool deployment and customization, looking to make an impact in the evolving world of generative ai","Sandeep Singh, Expert Senior Director, Bain & Company",4.5/5,Beginner,"exploring stability.ai - free course this course will give you a practical understanding of stability.ai tools. by the end of the course, you will be able to deploy and customize sd webui, and use the automatic1111 webui on runpod gpu environments. you'll learn to install, set up, generate, and fine-tune sd webui settings, equipping you with the skills to harness stability.ai's full potential for your projects.who should enroll:professionals:individuals aiming to enhance their skill set and apply stability.ai tools/stable diffusion in various fields.aspiring students:those beginning their journey to mastering generative ai tool deployment and customization, looking to make an impact in the evolving world of generative ai"
building a text classification model with natural language processing - free course,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,16 Lessons,Free,"gain practical insights into natural language processing (nlp) with our comprehensive course. learn to build nlp models using pytorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.who should enroll:professionals:expand your skill set with nlp for real-world applications in diverse industries.aspiring students:master text data analysis and kickstart your career in ai and nlp.","Apoorv Vishnoi, Head",4.7/5,Intermediate,"building a text classification model with natural language processing - free course gain practical insights into natural language processing (nlp) with our comprehensive course. learn to build nlp models using pytorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.who should enroll:professionals:expand your skill set with nlp for real-world applications in diverse industries.aspiring students:master text data analysis and kickstart your career in ai and nlp."
getting started with large language models,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,18 Lessons,Free,"this course will help you gain a comprehensive understanding of large language models (llms) and develop advanced natural language processing (nlp) applications using the pytorch framework. with a carefully curated list of resources and exercises, this course is your guide to becoming an expert in llms. master the techniques to build and fine-tune llms, and generate human-like text.who should enroll: professionals: individuals looking to expand their skill set and leverage llms across different industries. aspiring students: for those setting out on their journey to master language data analysis and leave a mark in the tech world.","Kunal Jain, Founder & CEO, Analytics Vidhya",4.5/5,Beginner,"getting started with large language models this course will help you gain a comprehensive understanding of large language models (llms) and develop advanced natural language processing (nlp) applications using the pytorch framework. with a carefully curated list of resources and exercises, this course is your guide to becoming an expert in llms. master the techniques to build and fine-tune llms, and generate human-like text.who should enroll: professionals: individuals looking to expand their skill set and leverage llms across different industries. aspiring students: for those setting out on their journey to master language data analysis and leave a mark in the tech world."
introduction to generative  ai,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai,9 Lessons,Free,"this course will provide you with a comprehensive understanding of generative ai, including text and image generation techniques. by the end of the course, you will be have an understanding of using generative ai tools to create diverse content. you'll learn how generative ai works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.who should enroll:professionals:individuals looking to enhance their skills in generative ai and apply advanced techniques to create innovative solutions across various domains.aspiring students:individuals eager to enter the field of generative ai and apply generative ai techniques to tackle complex problems and generate creative content across different fields.",Unknown,0/5,Unknown,"introduction to generative  ai this course will provide you with a comprehensive understanding of generative ai, including text and image generation techniques. by the end of the course, you will be have an understanding of using generative ai tools to create diverse content. you'll learn how generative ai works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.who should enroll:professionals:individuals looking to enhance their skills in generative ai and apply advanced techniques to create innovative solutions across various domains.aspiring students:individuals eager to enter the field of generative ai and apply generative ai techniques to tackle complex problems and generate creative content across different fields."
exploring natural language processing (nlp) using deep learning,https://courses.analyticsvidhya.com/courses/exploring-natural-language-processing-nlp-using-deep-learning,79 Lessons,Free,"natural language processing (nlp) is the hottest field in the data science space right now. the demand for nlp experts and data scientists is through the roof.we have seen a remarkable rise in the amount of research and breakthroughs in nlp recently. we can trace this recent rise to one (seismic) paper – “attention is all you need” by google ai. this breakthrough has spawned so many new and exciting nlp libraries that enable us to work with text in ways that were previously limited to our imagination (or hollywood).these nlp deep learning developments have spawned some mind-boggling applications. we’re sure you’ve already interacted with and used some of them yourself:human-level chatbots (dialogue systems like google duplex and meena)text generation (machines writing text from scrtach, such as openai’s gpt-2 model)here’s a quick list of the latest natural language processing concepts in deep learning every nlp expert and even enthusiast should know:language modelingsequence-to-sequence modelingattention mechanismtransformer architecturetransfer learning in nlp, and much more!these are key nlp deep learning concepts you should master if you want to successfully navigate through the nlp goldmine.",Unknown,4.6/5,Intermediate,"exploring natural language processing (nlp) using deep learning natural language processing (nlp) is the hottest field in the data science space right now. the demand for nlp experts and data scientists is through the roof.we have seen a remarkable rise in the amount of research and breakthroughs in nlp recently. we can trace this recent rise to one (seismic) paper – “attention is all you need” by google ai. this breakthrough has spawned so many new and exciting nlp libraries that enable us to work with text in ways that were previously limited to our imagination (or hollywood).these nlp deep learning developments have spawned some mind-boggling applications. we’re sure you’ve already interacted with and used some of them yourself:human-level chatbots (dialogue systems like google duplex and meena)text generation (machines writing text from scrtach, such as openai’s gpt-2 model)here’s a quick list of the latest natural language processing concepts in deep learning every nlp expert and even enthusiast should know:language modelingsequence-to-sequence modelingattention mechanismtransformer architecturetransfer learning in nlp, and much more!these are key nlp deep learning concepts you should master if you want to successfully navigate through the nlp goldmine."
getting started with deep learning,https://courses.analyticsvidhya.com/courses/getting-started-with-deep-learning,299 Lessons,Free,"deep learning algorithms are revolutionizing data science industry and disrupting several domains. from computer vision applications to natural language processing (nlp) use cases - every field is benefitting from use of deep learning models.this course starts by assuming no knowledge about neural networks and deep learning and introduces these subjects to the student one by one.the course helps you build a deep as well as intuitive understanding of what is deep learning, where can deep learning models be applied and then helps you solve several real life problems usingkerasandpytorchframeworks.download brochure","Kunal Jain, Founder & CEO, Analytics Vidhya",4.7/5,Intermediate,"getting started with deep learning deep learning algorithms are revolutionizing data science industry and disrupting several domains. from computer vision applications to natural language processing (nlp) use cases - every field is benefitting from use of deep learning models.this course starts by assuming no knowledge about neural networks and deep learning and introduces these subjects to the student one by one.the course helps you build a deep as well as intuitive understanding of what is deep learning, where can deep learning models be applied and then helps you solve several real life problems usingkerasandpytorchframeworks.download brochure"
nano course: dreambooth-stable diffusion for custom images,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images,13 Lessons,Free,"have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside elon musk or playing cricket with msd?this is exactly where the dreambooth model comes into the picture. with the help of dreambooth, you can personalize the stable diffusion for a particular subject.given just 5 images of our subject, dreambooth can create new images across diverse scenes, poses, views, and lighting conditions that do not appear in the reference images.in this free nano course on dreambooth, sandeep will discuss the historical journey of stable diffusion, its current landscape, and a brief understanding of the stable diffusion training process. then we will move on to the dreambooth, its training process and finetune dreambooth on our custom dataset.","Sandeep Singh, Head of Applied AI/Computer Vision at Beans.ai",4.6/5,Advanced,"nano course: dreambooth-stable diffusion for custom images have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside elon musk or playing cricket with msd?this is exactly where the dreambooth model comes into the picture. with the help of dreambooth, you can personalize the stable diffusion for a particular subject.given just 5 images of our subject, dreambooth can create new images across diverse scenes, poses, views, and lighting conditions that do not appear in the reference images.in this free nano course on dreambooth, sandeep will discuss the historical journey of stable diffusion, its current landscape, and a brief understanding of the stable diffusion training process. then we will move on to the dreambooth, its training process and finetune dreambooth on our custom dataset."
a comprehensive learning path for deep learning in 2023,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-for-deep-learning-in-2023,72 Lessons,Free,the most common question we get from beginners in the field of deep learning is - where to begin? the journey to becoming a deep learning expert can be difficult if one does not have the right resources to follow. there are a million resources to refer and it is tough to decide where to start from.we are here to help you take your first steps into the world of deep learning. here is a free learning path for people who want to become a deep learning expert in 2023. we have arranged the best resources in a logical manner along with exercises to make sure that you only need to follow one single source to become a data scientist.,Unknown,0/5,Unknown,a comprehensive learning path for deep learning in 2023 the most common question we get from beginners in the field of deep learning is - where to begin? the journey to becoming a deep learning expert can be difficult if one does not have the right resources to follow. there are a million resources to refer and it is tough to decide where to start from.we are here to help you take your first steps into the world of deep learning. here is a free learning path for people who want to become a deep learning expert in 2023. we have arranged the best resources in a logical manner along with exercises to make sure that you only need to follow one single source to become a data scientist.
